Original_Entry_ID,pXC50,Gene_Symbol,SMILES
11502887,7.13077,EGFR,ClC=1C(OCC2=CC(F)=CC=C2)=CC=C(NC3=NC=NC=C3C#CC4=CC=CN=C4)C1
CHEMBL121708,6.0,EGFR,C12=C(N=CN=C1C=C(N=C2)N)NCC3=CC(Br)=CC=C3
CHEMBL473141,4.99,EGFR,N=1C2=CC(=C(C=C2C(NC=3C=CC=C(C3)Br)=CC1)NC(/C=C/CN4CCOCC4)=O)OCC
CHEMBL144402,5.15,EGFR,C(\C(=O)NCCCN1CCN(CC1)CCCNC(/C(=C/C2=CC(O)=C(C=C2)O)/C#N)=O)(=C/C=3C=C(O)C(=CC3)O)/C#N
CHEMBL2333997,5.14,EGFR,O(C)C=1C=C2C(=NC=NC2=CC1OC)NC=3C4=C(C(=CC3)O)N=CC=C4
CHEMBL3233790,7.46,EGFR,N=1C2=C(C(=NC1)NC=3C=C(C(=CC3)F)Cl)C=C(S2)NC(/C=C/CN4CCN(CC4)CC)=O
70684611,6.10237,EGFR,ClC1=CC(NC2=NC=NC=3C2=CC(NCC4=CC=5OCCOC5C=C4)=CC3)=CC=C1
CHEMBL2048791,6.02,EGFR,N1C(CC=2C=C(C=CC12)OC=3C(=CC(=CC3)NC4=C5C(=NC=N4)C=CN5CCO)Cl)=O
CHEMBL1241864,5.85,EGFR,N1=CN=C2N(N=C(C=3C=CC4=C(C=CC(=N4)O)C3)C2=C1N)C5CCCC5
CHEMBL1909379,6.51,EGFR,C(C1=NC2=CC=C(NC=3N=CN=C4C=CC=CC34)C=C2N1)C5=CC=CC=C5
CHEMBL118130,8.22,EGFR,C1=2C(=NC=NC1=NNC2C3=CC=C(C=C3)O)NC4=CC(Cl)=CC=C4
CHEMBL31816,9.02,EGFR,N1=C2C(=NC=NC2=CC(=C1NC(C=C)=O)OC)NC=3C=C(Cl)C(=CC3)F
CHEMBL1987910,5.7,EGFR,S1C2=C(C(C3=CC=C(NC(=O)NC=4C(C(F)(F)F)=CC=CC4)C=C3)=C1)C(=NC=C2)N
CHEMBL77397,5.6,EGFR,C1(=C(C=CC(/C=C(/N(=O)=O)\C)=C1)OS(C=2C=CC(=CC2)C(O)=O)(=O)=O)OC
CHEMBL2333998,6.6,EGFR,O(C)C=1C=C2C(=NC=NC2=CC1OC)NC=3C=C(C=CC3)C#N
CHEMBL1241675,4.92,EGFR,N1=CN=C2N(C3CCCC3)N=C(C=4C=CN5C(C4)=NC=C5)C2=C1N
71659508,5.82391,EGFR,ClC1=C(OCC2=CC(F)=CC=C2)C=CC(NC(=O)C=3C(N)=CC(OCC)=C(NC(=O)CC=CN(C)C)C3)=C1
44416407,7.29243,EGFR,ClC=1C=C(NC2=NC=NC=3C2=CC(OCCCN4CCOCC4)=C(OC)C3)C(F)=CC1
CHEMBL110945,5.04,EGFR,C1=2C(=C(C#N)C=NC1=CC(=C(C2)OC)OC)NC3=CC(Cl)=C(C=C3)O
44428887,6.54775,EGFR,FCC(OC=1C(=O)C=C(NC2=NC=NC=3C2=CC(NC(=O)CC=CN(C)C)=C(OCC)C3)C(=O)C1)CF
CHEMBL3237938,4.74,EGFR,N1(C(C(C(C2C(CCC=C12)=O)C=3C(=NN(C3Cl)C=4C=CC=CC4)C)C#N)=N)C5=CN=CC=C5
CHEMBL1242847,5.37,EGFR,N=1C=NC2=C(C1N)C(=NN2C(C)C)C=3C=CC(=CC3)OC
CHEMBL77387,3.82,EGFR,N(C1=C(C=C(C=C(C#N)C#N)C=C1)O)(=O)=O
CHEMBL1241586,6.03,EGFR,N=1C=NC=2N(C(C)C)N=C(C3=CC=C4C(=C3)N=C(N4)O)C2C1N
CHEMBL2325108,6.68,EGFR,C=1C(=C(C=C(C1)C=2CC(N(N2)C(N)=S)C3=C4C(=CC=C3)C=CC=C4)Cl)Cl
CHEMBL446182,5.6,EGFR,N1C(C(C2=CNC=3C2=CC(=CC3)OC)=C(C4=CC(OC)=C(OC)C(OC)=C4)C1=O)=O
16719847,5.65758,EGFR,ClCCN(CC=NNNC=1C=C2C(N=CN=C2NC3=CC(Cl)=CC=C3)=CC1)C4=CC=C(Cl)C=C4
CHEMBL3237949,5.99,EGFR,N1(C(C(C(C2C(CC(C=C12)(C)C)=O)C=3C(=NN(C3Cl)C=4C=CC(=CC4)Cl)C)C(=O)OCC)=N)C5=CN=CC=C5
CHEMBL55748,5.0,EGFR,C=1C(=CC2=C(C1)NC(C2=C(C#N)C#N)=O)O
CHEMBL78685,5.8,EGFR,C=12SC(C3=CC=CC=C3)=CC1N=CN=C2NC4=CC=5C=NNC5C=C4
CHEMBL62843,4.0,EGFR,C1(=C(C(NC2=CC=CC=C2)=O)C=3C=CC=C(C3N1C)O)SSC4=C(C(NC=5C=CC=CC5)=O)C6=CC=CC(=C6N4C)O
CHEMBL331906,7.59,EGFR,C1=2C(=NC=NC1=NNC2C3=CC(O)=CC=C3)NC4=CC(Cl)=CC=C4
CHEMBL427314,4.89,EGFR,C1=2C(=C(C#N)C=NC1=CC(=C(C2)NC(/C=C/CN(C)C)=O)OCC)NC3=CC(OCC4=CC=CC=C4)=CC=C3
CHEMBL413,4.6,EGFR,C1(O[C@@H](CC(C(=CC([C@H]([C@H](C([C@@H](C[C@@H](C=CC=CC=C([C@H](C[C@H]2O[C@](C(C(N3[C@H]1CCCC3)=O)=O)(O)[C@@H](CC2)C)OC)C)C)C)=O)OC)O)C)C)=O)[C@@H](C[C@H]4C[C@@H](OC)[C@H](O)CC4)C)=O
CHEMBL122411,7.52,EGFR,C1(=C2C(=NC=NC2=NN1)NC3=CC(Cl)=CC=C3)NC4=CC=C(C=C4)OC
CHEMBL175557,7.8,EGFR,C1=2C(=C(C#N)C=NC1=CC(=C(C2)NC(/C=C/CN3CCSCC3)=O)OCC)NC4=CC(Cl)=C(C=C4)OCC5=CC=CC=C5
CHEMBL291701,6.16,EGFR,C1=2C(C(NC=3C=C(Br)C=CC3)=NC=N1)=CC=C(N2)F
CHEMBL593292,6.17,EGFR,C1(OCCCN2CCN(CC2)C)=C(C=C3C(=C1)C(NC=4C=CC(C=5SC6=C(C=CC=C6)N5)=CC4)=NC=N3)OC
CHEMBL1945448,7.05,EGFR,O=S(NC(=O)C=1C=NC=C(C1)Br)(C2=CC=C(C=C2)Cl)=O
CHEMBL2002322,5.7,EGFR,S1C2=C(C(C=3C=C(C=C(C3)C(F)(F)F)C(F)(F)F)=CN=C2)C=C1C(=O)N
CHEMBL259389,4.6,EGFR,N=1C2=C(N=C3C=CC=CC13)C(=NN2)N
CHEMBL417478,9.8,EGFR,N1=C2C(=NC=NC2=CC(=C1NC(C=C)=O)/C=C/CCN3CCOCC3)NC4=CC(Cl)=C(C=C4)F
CHEMBL1630111,8.54,EGFR,C1(C2=CC=C(O2)C(NC3=CC=CC=C3N)=O)=CC=C4C(C(=NC=N4)NC5=CC(=C(C=C5)OCC6=CC(=CC=C6)F)Cl)=C1
CHEMBL1098119,5.79,EGFR,C(CC1=CN(C=2C=CC(OCCC3=CC=C(C=C3)O)=CC21)CCCCCC4=CC=CC=C4)N
CHEMBL2002992,5.7,EGFR,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C
CHEMBL80155,5.66,EGFR,C1(=C(C=C(C=C1OC)C=C(C#N)C#N)O)O
44403420,8.30103,EGFR,ClC=1C=C(NC2=NC=NC=3C2=C(ON4CCC(CC4)C)C=C(OC)C3)C=CC1OCC=5N=CC=CC5
CHEMBL510155,7.35,EGFR,C=1(C=CC2=NC=NC(=C2C1)CC3=CC(=C(C=C3)CN(C)C)Br)NC(C=C)=O
CHEMBL179527,6.71,EGFR,C1=2C(=C(C#N)C=NC1=CC(=C(C2)NC(/C=C/CN(C)C)=O)OCC)NC3=CC(Cl)=C(C=C3)OCC4=CC(C#N)=CC=C4
CHEMBL2322329,8.34,EGFR,N(CCN1C2=C(C=C1)N=CN=C2NC=3C=CC(=C(C3)Cl)OC4=CC=CC(=C4)C(F)(F)F)C(CC=CN(C)C)=O
CHEMBL63469,8.19,EGFR,C1=2C(=NC=NC1=CC(=C(C2)N)Cl)NC=3C=C(Br)C=CC3
CHEMBL595374,5.85,EGFR,C1(OCCCN2CCN(CC2)C)=C(C=C3C(=C1)C(NC=4C=CC(C=5SC6=C(C=CC=C6)N5)=CC4C)=NC=N3)OC
CHEMBL185327,4.96,EGFR,C1=2C(NC=3C=C(NC(=O)C4=CC=CC=C4)C=CC3Cl)=NC=NC1=CC(=C(C2)OC)OC
CHEMBL554,9.04,EGFR,C=1C=C(OC1C=2C=C3C(=CC2)N=CN=C3NC4=CC=C(C(=C4)Cl)OCC5=CC(=CC=C5)F)CNCC=S(O)(O)=C
CHEMBL1829272,4.58,EGFR,C(CC=1C=C(C=CC1)Br)(=O)NS(C=2C=CC(=CC2)C)(=O)=O
CHEMBL469354,8.0,EGFR,N1=C(SC=2C(=NC=NC12)NC3=CC(=CC=C3)Br)NC=4C=CC(=CC4)S(=O)(=O)N
CHEMBL1093099,4.82,EGFR,N1=C(N=C2C(C=3C(=CC=CC3N2)SC4=CC=CC=C4)=C1N)N
CHEMBL432903,6.7,EGFR,C/1(\C=2C(=NC=NC2NC=3C=C(Cl)C(=CC3)F)NC1=O)=C/C=4NC(C)=C(C4C)C(=O)NCCN(CC)CC
CHEMBL1944928,4.12,EGFR,C1(CC(C2=C(O1)C=3C=CC(=CC3N(C2=O)C)OC)=O)=O
CHEMBL1242028,5.16,EGFR,N=1C=NC=2N(C(C)C)N=C(C3=CC(=C(C=C3F)O)F)C2C1N
11340298,6.60206,EGFR,BrC=1C=C(NC2=NC=NC3=CC(N4CCN(CC4)C)=C(NC(=O)C=C)C=C32)C=CC1
CHEMBL2437486,6.94,EGFR,C=1C=CC=CC1NC2=NC3=C(C=N2)N=CC(N3C=4C=CC=C(C4)NC(CC=CN(C)C)=O)=O
CHEMBL445572,7.05,EGFR,C(N(CC=S(O)(=C)O)CC1=CC=CC=C1)C2=CC=C(C=3C=C4C(N=CN=C4NC5=CC=C(OCC6=CC(=CC=C6)F)C(Cl)=C5)=CC3)O2
CHEMBL589120,4.83,EGFR,N(C(=O)C1=CC=C(C=C1)N(CCCl)CCCl)(C2=CC=CC=C2)C
CHEMBL165788,8.96,EGFR,C=1(C=2C(=CN=C(C2)NC)N=CN1)NC3=CC(C(F)(F)F)=CC=C3
CHEMBL1682553,5.7,EGFR,C=1(C=CC2=C(C1)C=NN2)C=3N=C4N(C3NC(C)C)C=CC=N4
CHEMBL105436,6.52,EGFR,N=1C(=C2C(C=3C=CC=C(OC)C3)=CN(C2=NC1)C4=CC=C(C=C4)CCN(CCO)C)N
CHEMBL30432,9.0,EGFR,CN(C)C1=CC2=C(NC=3C=CC=4N(CC5=CC=CC=C5)N=CC4C3)N=CN=C2C=N1
CHEMBL1975256,5.7,EGFR,S1C(C=2N(N=NC2C(=O)NN=CC=3SC=CC3)C4=NON=C4N)=CC=C1
CHEMBL423159,4.68,EGFR,C=1(C(=O)OC)C(=CC=C(NCC=2C=C(O)C=CC2)C1)O
CHEMBL134371,9.43,EGFR,C=1(C=2C(=CC=C(NC(/C=C/C(=O)O)=O)C2)N=CN1)NC3=CC(Br)=CC=C3
CHEMBL1914671,7.48,EGFR,C=1N=C(C=2C=C(NC2N1)C3=CC=CC=C3)N[C@@H](C4=CC=C(C=C4)F)C
10020830,7.1549,EGFR,O(C(=O)C=1C=C(NCC2=C(O)C=CC(O)=C2)C=CC1O)C3=CC=CC=C3
44442749,,EGFR,O(C=1C=C([C@H]2[C@H](NC=3C=4C(N=CC3C#N)=CC(OC)=C(OC)C4)C2)C=CC1OCC5=CC=CC=C5)C
CHEMBL1999556,5.7,EGFR,S1C2=C(C(C=3C=CC=CC3)=CN=C2)C=C1C(=O)N
CHEMBL482715,3.91,EGFR,N=1C(=NC=2NC(=CC2C1NC3=CC(=C(C=C3)F)C(F)(F)F)CCC4=CC=CC=C4)N
CHEMBL406375,4.6,EGFR,N1N=C2C(=C1C=3C=CC=CC3)OC=4C2=CC=CC4
CHEMBL196363,5.7,EGFR,C1=CC(=CC=C1NC(=O)NC=2C=CC=C(C2)C)C=3C=4C(SC3)=NC=NC4N
CHEMBL1688860,5.31,EGFR,C=1N=C2NC(CCC2=C(OC3=CC=C4CC[C@H](CC4=C3)NC(C5=CC(=CC(=C5)CN(C)C)C(F)(F)F)=O)C1)=O
CHEMBL93734,7.55,EGFR,C=1(N(=O)=O)C(=CC=2C(C1)=C(N=CN2)NC3=CC(Br)=CC=C3)NC(=O)C
CHEMBL3234745,6.89,EGFR,C1(=C(C=C(C=C1)NC(C=2C=CC(=C(C2)NC(C3=CN=C(N=C3)NCC)=O)C)=O)C(F)(F)F)CN4CCN(CC4)C
CHEMBL1789961,6.59,EGFR,COC1=CC(C=NNC=2N=CN=C3N(N=CC23)C4=CC=CC=C4)=CC=C1O
CHEMBL460732,7.03,EGFR,C=1(C=C2C(=NC=NC2=CC1)NC3=CC=C(C=C3)S(C4=CC=CC=C4)(=O)=O)OCCCCNCC=S(=C)(O)O
44388494,6.59346,EGFR,ClC=1C=C(NC=2C=3C(N=CC2C#N)=CC(OCC)=C(NC(=O)/C=C/C=4N=CN(C4)C)C3)C=CC1OCC5=CC=CC=C5
CHEMBL372293,6.7,EGFR,C=1(C(=C2C(=NC=NN2C1)NC3=CC=4C=NN(C4C=C3)CC5=CC=CC=C5)CC)C(N(C)C)=O
CHEMBL297968,8.8,EGFR,C=1(C2=C(C=C(NC(C=C)=O)C=C2)N=CN1)NC3=CC(C)=CC=C3
CHEMBL1958401,5.7,EGFR,C=1C(=NC(=NC1O)NC2CCCCC2)C=3C=CN=CC3
CHEMBL478980,4.6,EGFR,C1=CC=CC=C1C(=O)C=2C=CC(=CC2O)N3CCOCC3
CHEMBL1242853,6.41,EGFR,N1=CN=C2N(N=C(C2=C1N)C3=CC4=C(N(C=C4)C(OC(C)(C)C)=O)C=C3)C5CCCC5
CHEMBL1242024,6.02,EGFR,N=1C=NC2=C(C1N)C(C3=C(C=C(C=C3)O)C)=NN2C(C)C
CHEMBL482767,5.7,EGFR,N1=CN=C(C=2SC=CC21)NCCC=3SC(=NC3)NC(NC4=CC(=CC=C4)Cl)=O
CHEMBL379047,6.81,EGFR,C=1(C=CC2=NC=NC(=C2C1)NC=3C=C(C=CC3)Br)NC(N(CCCl)C)=O
CHEMBL294475,9.09,EGFR,C=12C(=NC=NC1C=NC(=N2)NCCN3CCOCC3)NC4=CC(Br)=CC=C4
CHEMBL81480,5.54,EGFR,C1(=C(C2=CC=C(C=C2N1)C)CCC(=O)O)SSC3=C(C4=CC=C(C=C4N3)C)CCC(=O)O
CHEMBL2337369,4.23,EGFR,N1=C(N=C2C(=C1NC3=CC=C(C=C3)Cl)C4=C(N2)C=CC=C4Cl)NC(=O)C(C)(C)C
72206526,5.96257,EGFR,ClC=1C(OC2=CC=C(COC3=NON(=O)=C3S(=O)(=O)C4=CC=CC=C4)C=C2)=NC(NC5=C(OC)C=C(N6CCN(CC6)C)C=C5)=NC1
CHEMBL1980142,5.7,EGFR,FC(F)(F)C1=C2N=CC=C(NC(=O)NC3=NC(C(F)(F)F)=CC=C3)C2=CC=C1
CHEMBL1087759,5.6,EGFR,C1(=CC(=CC=C1)C)C(=NN2C(=C3C(=C(N=N3)C4=CC=C(C=C4)Cl)N=C2CCCCC)O)O
72190113,7.72125,EGFR,BrC=1C=C(NC2=NC=NC=3C2=CC(NC(=O)CCOC4=CC=CC=C4)=CC3)C=CC1
CHEMBL572030,6.74,EGFR,C1(=CC=C2C(=C1)C(=NC=N2)NC3=CC=CC(Cl)=C3)/N=N/N(C(OC=C)=O)CCN(C)C
CHEMBL505463,6.55,EGFR,N1=CN=C(NC=2C=C(C(=CC2)OC=3C=CN=C4C3C=C(C=C4)F)Cl)C5=C1C=C(C#C[C@@H]6C[C@H](CN6)OC(N7CCOCC7)=O)S5
CHEMBL74722,7.6,EGFR,C12=C(NC(=C1C)C)N=CN=C2NC3=CC(Br)=CC=C3
CHEMBL2333989,5.57,EGFR,O(C)C=1C=C2C(=NC=NC2=CC1OC)NC3=CC=C(C=C3)N
CHEMBL2218926,4.6,EGFR,CC(C)(C)C1=CC(C=C(C#N)C#N)=CC(=C1O)Br
CHEMBL320705,7.18,EGFR,N1(C=2N=C(NC=3C(OC)=CC=CC3)N=CC2C=C(C1=O)C=4C(Cl)=CC=CC4Cl)C
CHEMBL1492110,4.55,EGFR,O=C1C2=C(C(=O)C=3C1=CC=CC3)C=CC=C2N(C)C
CHEMBL56912,8.1,EGFR,C1=2C(=NC=NC1=CC(=C(C2)OCCNCCOC)OC)NC3=CC(Cl)=C(C=C3)F
CHEMBL1986970,5.7,EGFR,O=C(N(CCOC)C)C=1N(N=NC1C=2C=C3C(NN=C3)=CC2)CC4=CC=CC=C4
CHEMBL2029431,8.06,EGFR,N1=C(N=C2C(=C1)CN(C(N2C=3C=CC=C(NC(C=C)=O)C3)=O)C)NC=4C=CC(=CC4OC(C)C)N5CCN(CC5)C
5328781,5.29243,EGFR,O=C(NC1=C(C=CC=C1C)C)/C(=C/C2=CC(O)=C(O)C=C2)/C#N
CHEMBL420885,6.57,EGFR,C1=2C(=NC=NC1=NNC2C=3C=CC(NC(OC(C)(C)C)=O)=CC3)NC=4C=C(Cl)C=CC4
CHEMBL474341,8.43,EGFR,N=1C=NC(NC2=CC=CC(Br)=C2)=C3C=C4C(=CC13)N(N=C4)CCC(N5CCOCC5)=O
